Date,Open,High,Low,Close,AdjClose,Volume
"May 17, 2018",424.000,424.200,409.200,411.000,410.120,"69,097,901"
"May 16, 2018",398.600,398.800,390.600,396.200,395.352,"29,613,558"
"May 15, 2018",411.800,412.600,398.000,398.000,397.148,"33,138,167"
"May 14, 2018",415.000,416.800,409.000,411.800,410.918,"20,833,909"
"May 11, 2018",412.000,415.000,408.000,408.800,407.925,"24,703,301"
"May 10, 2018",399.000,406.600,398.000,406.200,405.330,"31,117,306"
"May 09, 2018",395.000,396.800,390.600,394.600,393.755,"20,938,751"
"May 08, 2018",384.000,393.600,382.000,390.600,389.764,"33,393,975"
"May 07, 2018",388.000,388.800,375.400,380.000,379.186,"34,266,791"
"May 04, 2018",389.600,389.600,382.000,382.800,381.980,"19,325,968"
"May 03, 2018",389.400,390.600,384.400,385.000,384.176,"23,905,086"
"May 02, 2018",391.000,396.800,391.000,393.400,392.558,"19,203,910"
"Apr 30, 2018",392.400,393.600,389.200,391.000,390.163,"12,881,205"
"Apr 27, 2018",390.000,390.800,383.000,388.400,387.568,"26,446,726"
"Apr 26, 2018",388.000,390.600,377.200,382.200,381.382,"34,961,200"
"Apr 25, 2018",390.800,393.000,384.800,386.800,385.972,"34,823,644"
"Apr 24, 2018",396.600,399.400,394.200,396.600,395.751,"14,521,724"
"Apr 23, 2018",397.600,400.200,393.600,394.000,393.156,"19,316,986"
"Apr 20, 2018",406.000,406.800,398.400,400.200,399.343,"18,108,773"
"Apr 19, 2018",404.000,407.200,400.600,405.800,404.931,"21,812,372"
"Apr 18, 2018",404.200,405.000,393.400,400.000,399.144,"28,121,104"
"Apr 17, 2018",403.200,406.600,395.000,397.200,396.350,"28,414,345"
"Apr 16, 2018",406.800,407.800,399.200,403.000,402.137,"24,901,230"
"Apr 13, 2018",416.600,416.800,407.200,408.000,407.126,"19,567,202"
"Apr 12, 2018",422.400,423.600,408.800,413.200,412.315,"20,604,298"
"Apr 11, 2018",421.000,425.600,417.200,419.600,418.702,"23,911,389"
"Apr 10, 2018",413.000,418.600,409.400,417.200,416.307,"25,584,002"
"Apr 09, 2018",408.000,414.600,404.200,410.000,409.122,"21,220,762"
"Apr 06, 2018",404.800,409.600,400.400,405.800,404.931,"26,586,340"
"Apr 04, 2018",408.200,412.000,397.600,397.600,396.749,"35,861,711"
"Apr 03, 2018",404.600,412.400,400.600,409.400,408.523,"32,886,586"
"Mar 29, 2018",414.000,417.000,405.200,409.600,408.723,"41,115,421"
"Mar 28, 2018",420.000,427.400,411.400,412.200,411.317,"48,964,699"
"Mar 27, 2018",435.200,438.600,430.200,432.200,431.275,"42,644,182"
"Mar 26, 2018",419.400,431.000,412.400,426.600,425.687,"47,299,723"
